source_group,body_part_sensory,target_type,dim_category,super_class,median_influence,adjusted_influence
"humid, Ir68a [antenna]",antenna,INXXX320,specific,ventral_nerve_cord_intrinsic,7.565391561341872e-5,14.510658640526362
"humid, Ir68a [antenna]",antenna,INXXX322,specific,ventral_nerve_cord_intrinsic,6.712461058763823e-5,14.391040193546448
"humid, Ir68a [antenna]",antenna,INXXX324,specific,ventral_nerve_cord_intrinsic,5.242107420728929e-5,14.143798132038635
"humid, Ir68a [antenna]",antenna,INXXX326,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,4.446466947906338e-5,13.979184371576522
"humid, Ir68a [antenna]",antenna,INXXX331,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,2.0166033589570798e-5,13.188489125658977
"humid, Ir68a [antenna]",antenna,INXXX333,other-dimorphic,ventral_nerve_cord_intrinsic,4.0740208648034464e-5,13.891704974275234
"humid, Ir68a [antenna]",antenna,INXXX334,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,3.869045959706808e-5,13.840082489640325
"humid, Ir68a [antenna]",antenna,INXXX340,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,5.421804864263693e-5,14.17750329583553
"humid, Ir68a [antenna]",antenna,INXXX341,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,6.990383868845314e-5,14.431610006626745
"humid, Ir68a [antenna]",antenna,INXXX346,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,3.80824069702717e-5,13.824241858214267
"humid, Ir68a [antenna]",antenna,INXXX347,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,7.139375804514423e-5,14.452699885222794
"humid, Ir68a [antenna]",antenna,INXXX348,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,5.448498725896206e-5,14.182414642619674
"humid, Ir68a [antenna]",antenna,INXXX349,specific,motor,4.335772802530826e-5,13.953974399853989
"humid, Ir68a [antenna]",antenna,INXXX350,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,4.777065936520539e-5,14.050901072256412
"humid, Ir68a [antenna]",antenna,INXXX352,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,5.657775468445368e-5,14.22010532321316
"humid, Ir68a [antenna]",antenna,INXXX353,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,1.088906905789956e-4,14.87483398236087
"humid, Ir68a [antenna]",antenna,INXXX357,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,1.276025596493074e-4,15.033409872692767
"humid, Ir68a [antenna]",antenna,INXXX360,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,1.7288123438325976e-4,15.3370942943249
"humid, Ir68a [antenna]",antenna,INXXX363,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,1.224529181629369e-4,14.992216056615327
"humid, Ir68a [antenna]",antenna,INXXX365,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,3.361942364154365e-5,13.699593426548118
"humid, Ir68a [antenna]",antenna,INXXX369,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,1.9923875875273734e-4,15.478993340311431
"humid, Ir68a [antenna]",antenna,INXXX370,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,4.0977276005865967e-5,13.89750711133082
"humid, Ir68a [antenna]",antenna,INXXX372,specific,ventral_nerve_cord_intrinsic,6.120079555272069e-5,14.29864963069698
"humid, Ir68a [antenna]",antenna,INXXX373,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,8.566297467808006e-5,14.634910140191094
"humid, Ir68a [antenna]",antenna,INXXX374,other-dimorphic,ventral_nerve_cord_intrinsic,5.130236034696254e-5,14.12222620381603
"humid, Ir68a [antenna]",antenna,INXXX377,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,5.9662861559420926e-5,14.273199184427668
"humid, Ir68a [antenna]",antenna,INXXX378,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,4.835453988188973e-5,14.063049555739873
"humid, Ir68a [antenna]",antenna,INXXX379,other-dimorphic,ventral_nerve_cord_intrinsic,5.54701832427057e-5,14.200335079553438
"humid, Ir68a [antenna]",antenna,INXXX381,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,4.73291792712476e-5,14.041616445242527
"humid, Ir68a [antenna]",antenna,INXXX382_b,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,9.19786791859732e-5,14.706046244248501
"humid, Ir68a [antenna]",antenna,INXXX387,specific,ventral_nerve_cord_intrinsic,1.1270065043169925e-4,14.90922463441972
"humid, Ir68a [antenna]",antenna,INXXX388,cross-mapped dimorphic,motor,1.2656902702325856e-4,15.025277269548614
"humid, Ir68a [antenna]",antenna,INXXX388,cross-mapped dimorphic,sensory,1.0616636821351896e-4,14.849496817200237
