Cell ID,Cell Type,Dimorphism
800456,IN19B107,
800457,IN03A068,
800458,IN09A009,
800459,IN03A001,
800461,IN19A003,
800464,IN18B006,
800465,IN17A016,
800466,IN20A.22A001,
800468,IN08A003,potentially_male-specific
800470,IN13A012,
800471,IN13A002,
800472,IN12A004,
800473,IN06B012,
800476,IN02A004,
800477,IN00A002,
800480,IN21A014,
800482,IN19B035,
800483,IN03A007,
800484,IN04B006,
800485,IN06B003,
800487,IN04B034,
800488,INXXX027,
800489,IN16B083,
800490,IN19A008,
800492,IN03A004,
800493,IN14A002,
800494,IN19A007,
800495,IN09A003,
800496,IN11B004,
800497,IN19A005,
800500,IN03B005,
800501,IN19A005,
800502,INXXX247,
800503,IN08B004,
800505,IN09A006,
800506,IN19A009,
800508,IN01A011,
800509,INXXX396,
800510,INXXX038,
800511,IN08A006,
800513,IN01B079,
800514,IN13B005,
800515,IN21A008,
800516,INXXX025,potentially_male-specific
800517,INXXX027,
800518,IN02A026,
800520,IN11A028,
800524,IN13A002,
800525,IN19A018,
800526,IN19A017,
800527,IN19A005,
800528,IN23B011,
800529,IN19A018,
800530,IN13B010,
800531,IN19A006,
800532,IN05B028,
800534,vPR6,
800535,IN08A050,
800536,IN19A011,
800537,IN23B009,
800538,INXXX421,
800539,IN03B019,
800542,IN12A019_c,
800543,IN01B003,
800544,IN01A034,
800545,IN13A034,
800546,IN13A009,
800547,IN03A068,
800549,IN21A004,
800550,IN08B062,
800551,IN19A015,
800552,IN07B038,
800554,IN21A008,
800555,IN05B094,
800556,IN08B017,
800557,IN03A006,
800559,IN08A019,
800560,IN06B016,
800561,IN08A006,
800562,IN07B001,
800564,IN17A011,
800565,IN18B008,
800566,IN07B007,
800567,INXXX036,
800569,IN03A040,
800570,IN13B013,
800571,INXXX149,
800572,IN09B006,
800574,IN08B006,
800575,INXXX044,
800576,IN03A001,
800579,IN05B018,
800580,IN01A012,
800582,INXXX032,
800583,IN19B012,
800585,IN04B068,
800586,IN09A003,
800587,IN02A007,
800588,IN17A013,
800590,IN19A032,
800592,IN13B021,
800593,IN17B006,
800594,INXXX008,
800595,IN06B008,
800596,IN19A003,
800597,IN13A011,
800599,IN16B022,
800602,INXXX183,
800604,IN09A080,
800605,IN21A016,
800612,IN09A060,
800613,IN21A001,
800614,dMS2,
800616,IN08B085_a,
800618,IN12B003,
800622,IN19A003,
800624,IN13B010,
800628,IN01A009,
800629,IN09A018,
800631,IN12A003,
800632,IN09B014,
800638,IN19A015,
800640,IN20A.22A008,
800641,INXXX062,potentially_male-specific
800642,IN13A006,
800643,IN17A016,
800644,INXXX126,
800645,IN19A084,
800646,IN03A006,
800649,INXXX062,potentially_male-specific
800650,IN21A001,
800651,IN12B011,
800654,IN07B007,
800655,IN09A006,
800656,IN19A020,
800657,IN06B029,
800660,INXXX044,
800662,IN21A094,
800663,IN03A006,
800666,IN14A001,
800668,IN13B001,
800669,IN23B037,
800670,IN20A.22A008,
800671,IN13A004,
800672,IN02A003,
800675,IN21A003,
800676,IN09B008,
800677,IN21A003,
800678,IN10B012,
800679,IN14A002,
800681,IN03A021,
