Cell ID,Cell Type,Dimorphism
807356,SNta11,
807367,SNta20,
807373,SNta14,
807380,SNta29,
807381,,
807382,SNxx01,
807402,SNta27,
807412,SNxx15,
807420,,
807446,SNta11,
807447,SNta04,
807449,SNxx03,
807458,SNpp61,
807459,SNpp40,
807472,LgLG1b,
807473,SNppxx,
807475,SNxx33,
807481,SNta37,
807482,SNta18,
807483,,
807490,SNpp63,
807495,SNxx04,
807510,SNpp61,
807526,,
807527,SNxx14,
807533,SNxx29,
807546,SNxx01,
807550,SNxx14,
807551,SNta38,
807554,SNpp61,
807561,SNpp62,
807562,SNxx15,
807586,,
807590,,
807595,SNpp40,
807596,SNxx20,
807601,SNxx01,
807602,SNta25,
807629,SNxx29,
807634,LgLG6,
807648,,
807651,SNta02,
807656,LgLG3a,
807657,SNxx03,
807664,SNta02,
807667,SNta33,
807669,SNta30,
807677,,
807687,SNta20,
807690,WG3,
807696,SNpp19,
807705,SNch01,
807714,SNpp61,
807721,,
807730,SNxx14,
807736,SNta12,
807737,SNta38,
807744,SNta14,
807746,SNta20,
807748,SNta38,
807751,SNpp62,
807752,SNppxx,
807754,SNta04,
807765,SNta21,
807767,SNxx29,
807779,SNta29,
807785,SNpp51,
807790,SNta12,
807805,SNpp48,
807806,SNta33,
807816,SNxx04,
807817,SNpp61,
807830,SNxx10,
807850,SNta29,
807860,SNpp40,
807863,,
807890,SNpp61,
807900,SNpp39,
807911,SNxx04,
807912,SNta14,
807913,SNpp16,
807915,SNpp40,
807917,,
807918,LgLG6,
807925,SNxx14,
807930,SNta14,
807931,SNpp51,
807932,SNta30,
807933,SNpp45,
807935,SNxx17,
807943,SNpp63,
807958,LgLG1a,
807967,SNch01,
807970,SNpp41,
807971,SNta29,
807983,SNxx08,
807986,SNta02,
807990,LgLG1a,
807991,,
807995,SNta29,
807997,,
807999,SNpp37,
808002,,
808014,SNpp08,
808015,SNpp40,
808016,SNpp40,
808022,SNpp61,
808035,SNta14,
808045,SNxx26,
808050,SNta04,
808056,SNta14,
808065,SNpp63,
808071,LgLG1a,
808075,SNpp61,
808077,SNpp50,
808082,SNpp40,
808083,SNta34,
808084,SNxx28,
808092,SNxx10,
808107,SNta04,
808113,,
808123,SNta29,
808127,SNta42,
808135,SNxx33,
808136,SNpp40,
808138,SNta14,
808139,SNpp63,
808145,SNta14,
808151,SNta18,
808155,,
808162,SNpp08,
808164,,
808172,SNta28,
808175,SNta14,
808178,SNpp07,
808182,SNta21,
