Cell ID,Cell Type,Dimorphism
806643,MNad05,
806671,MNad02,
806679,MNad12,
806689,MNad09,
806754,MNad31,
806779,MNad09,
806817,MNad11,
806835,ENXXX226,
806837,MNad47,
806898,Fe/reductor,
806902,MNad44,
806923,Sternal/anterior/rotator,
806943,MNad47,
807010,MNad02,
807075,MNad02,
807088,ENXXX226,
807144,MNad02,
807160,MNhl01,
807165,tibia_flexor,
807176,MNad28,
807281,tergopleural_pleural_promotor,
807288,MNad13,
807312,MNad56,
807368,MNad28,
807395,MNml29,
807396,MNad56,
807401,MNad01,
807437,ENXXX128,
807464,MNad02,
807560,EN00B015,
807569,MNad31,
807594,MNad01,
807638,MNad02,
807640,trochanter_flexor,
807649,MNad11,
807681,MNad16,
807694,MNad16,
807713,MNad02,
807784,hi2,
807799,DVMn/b,
807813,MNad45,
807837,MNad43,
807838,MNad02,
807854,Sternal/adductor,
807870,MNad16,
807873,Acc./tr/flexor,
807899,MNad05,
807906,trochanter_extensor,
807924,DVMn/b,
807945,MNad17,
807972,ltm2-femur,
807987,,
808011,Sternal/posterior/rotator,
808101,MNad01,
808134,MNad01,
808163,EN00B010,
808208,MNad02,
808250,MNad53,
808353,EN00B013,
808453,trochanter_extensor,
808454,,
808456,,
808457,,
808464,MNad57,
808532,MNad01,
808551,EN00B011,
808572,MNad57,
808621,MNad01,
808630,,
808640,Sternal/posterior/rotator,
808685,tibia_flexor,
808720,MNad16,
808813,hi2,
808820,MNad01,
808845,EN00B011,
808856,EN00B004,
808888,MNad16,
808926,MNad48,
809055,MNhl88,
809085,hDVM,
809238,MNad16,
809304,MNad45,
809397,MNad48,
809401,MNad25,
809484,MNad30,
809492,MNad48,
809582,ENXXX226,
809604,Acc./tr/flexor,
809670,accessory_tibia_flexor,
809862,MNad09,
809912,tibia_flexor,
809935,Ti/extensor,
809974,EN00B010,
809979,EN27X010,
809985,hi2,
810035,ENXXX226,
810069,MNad09,
810086,MNad03,
810098,tibia_flexor,
810241,MNad09,
810372,MNad09,
810453,EN00B016,
810460,hiii2,
810535,tergopleural_pleural_promotor,
810541,Ta/levator,
810586,EN27X010,
810639,trochanter_flexor,
810720,Acc./tr/flexor,
810750,ENXXX286,
810859,,
811137,MNhl87,
811215,ENXXX286,
811395,MNxm02,
811400,MNxm02,
811406,EN00B027,
811414,EN00B016,
811415,EN00B015,
811431,EN00B019,
811554,MNad07,
811652,Fe/reductor,
811952,MNad07,
811999,MNad09,
812111,Fe/reductor,
812134,EN27X010,
812186,MNad09,
812193,MNad55,
812354,MNad43,
812385,MNad07,
812503,MNad49,
812531,accessory_tibia_flexor,
812633,EN00B027,
812718,MNad07,
812752,MNxm03,
812872,ltm,
812878,EN21X001,
812899,MNhl87,
812953,Ti/extensor,
812988,MNxm03,
813201,EN00B008,
813255,EN00B017,
813264,EN00B008,
813291,MNad25,
813480,Sternal/adductor,
813566,Fe/reductor,
813603,ltm,
813629,accessory_tibia_flexor,
813633,MNad21,
813658,EN21X001,
813695,MNad13,
813696,ADNM2,
813725,MNad13,
813755,Tergotr.,
813845,EN21X001,
814010,MNad13,
814091,EN21X001,
814106,MNad48,
814117,EN00B026,
814163,Fe/reductor,
814206,MNad06,
814367,MNad13,
814430,MNad03,
814470,,
814489,trochanter_flexor,
814590,EN00B026,
814783,MNad13,
814942,trochanter_extensor,
814958,MNad13,
814983,MNml78,
814989,MNad03,
815075,MNad17,
815097,ltm,
815205,MNad03,
815209,MNad29,
815246,accessory_tibia_flexor,
815281,MNad03,
815344,Ti/extensor,
815430,EN00B015,
815445,,
815454,EN27X010,
815498,ltm2-femur,
815678,Ti/extensor,
815682,MNad29,
815854,Sternal/adductor,
815958,Acc./tr/flexor,
816018,Sternal/adductor,
816022,MNhl29,
816215,accessory_tibia_flexor,
816222,tibia_flexor,
816236,EA00B022,
816404,accessory_tibia_flexor,
816501,MNhl02,
816648,trochanter_flexor,
816810,MNad18,
816918,EN00B008,
816976,,
817026,MNxm01,
817133,MNad18,
817210,Ta/levator,
817283,accessory_tibia_flexor,
817347,Tergotr.,
817363,EN00B023,
817374,accessory_tibia_flexor,
817421,ENXXX012,
817458,MNad54,
817509,accessory_tibia_flexor,
817595,Fe/reductor,
817640,trochanter_flexor,
817655,Ta/depressor,
817681,trochanter_flexor,
817798,EN00B024,
817835,MNad18,
817838,EN00B013,
817862,EN00B026,
817893,ENXXX226,
817927,MNad18,
817990,MNml78,
817999,MNad54,
818057,tibia_flexor,
818077,MNad18,
818098,MNxm01,
818287,ENXXX226,
818295,tibia_flexor,
818387,MNad54,
818389,trochanter_flexor,
818399,Sternal/posterior/rotator,
818428,MNad54,
818502,EN00B023,
818527,EN00B026,
818553,ltm1-tibia,
818563,MNad25,
818719,trochanter_flexor,
818725,ENXXX012,
818737,,
818842,trochanter_extensor,
818993,EN00B026,
818996,Sternal/posterior/rotator,
819112,tibia_flexor,
819203,trochanter_flexor,
819278,Ta/depressor,
819342,EN00B023,
819384,tibia_flexor,
