MANC ID,DimScore
57998,6.831747108603623
26159,5.634090172943408
26926,5.589906960752357
13807,5.112114428786594
27715,4.706436381187411
26763,4.632023625253672
25656,4.606188341617195
13038,4.4334028521828905
26574,4.430910750057847
41456,4.354046033660493
13417,4.352338076089205
13565,4.196360046721572
12483,4.190114486475301
12516,4.125922088789984
13536,4.121848494579819
51971769437,4.1071667357253725
12472,4.085206045910963
39216,4.0545897400861755
50464,3.996156195027516
27350,3.9681757931223287
10099,3.9672547238223186
12521,3.932793835430546
45911,3.930706234554618
16658,3.8876633491415227
11707,3.856013042804577
192220,3.8245971779741152
15225,3.805273144597609
13570,3.759512956988345
11956,3.7593327633819325
18578,3.7537080330136194
49317,3.7300952848322155
13705,3.7287236266483843
42128,3.7274756707599845
11940,3.72159514946949
13727,3.721425361711529
151705,3.7095103927235917
28176,3.6478405921914874
57028,3.63165363037574
17548,3.617022330021663
44290,3.6119884484103175
61084,3.6031198729783216
19443,3.598529631779492
45443,3.5981423074196193
14862,3.5971743841264745
16690,3.594724714997768
10075,3.582270432471868
15936,3.575225245738224
14055,3.570138221212833
58929,3.569556687135689
167887,3.561635367828825
14277,3.5494850742782518
11192,3.5494392226717992
11398,3.5403470594946365
24815,3.5304389261359566
57150,3.5285505817796308
13873,3.527898308902941
16042,3.513860393357563
151730,3.5112482204871793
13928,3.510531500046829
42161,3.504284616323679
11337,3.5034531791530514
17469,3.5018838614570806
27554,3.49345584263155
45849,3.4916205693382754
23567,3.491401761889377
40526,3.477346027333759
13772,3.4748365455209926
10819,3.472001169380018
12706,3.423018480354596
14589,3.4219276517702006
13240,3.4210639878231155
10962,3.3971348630815568
27468,3.3932031671782883
33641,3.3867334773503424
27059,3.386087617259657
42765,3.3793594586878215
15332,3.3778577180819473
17462,3.3749366282925957
12905,3.3707101724077013
21416,3.355439747623483
18546,3.353563796147313
18209,3.352430044938815
33957,3.3497649610698903
16391,3.348803182743952
14779,3.341633286607362
40252,3.328280658700452
13754,3.30893974491468
36579,3.3024624218530003
40948,3.3018754543633917
12887,3.2955384200592777
18312,3.2776974664742706
10190,3.2727137664780503
33586,3.2706194685140577
36495,3.2701566733149434
14791,3.2683304933422317
19604,3.265325417091486
15668,3.2632468490307187
95663,3.2586104146645916
41773,3.2554618452219244
10250,3.250379717903852
14900,3.2499211759458326
33943,3.249370986750227
154601,3.248753899513332
39724,3.2486580481404896
101367,3.2449707540952195
14541,3.235369313774658
12060,3.2328781678663714
29487,3.2275804634381338
43362,3.2138623027952793
