Cell Type,Category,Reference,Eval
IN17A087,Dimorphic,New,needs_detailed_examination
IN17A092,Male Specific,New,
IN17A094,Dimorphic,New,internally_consistent
IN17A096,Dimorphic,New,needs_minor_rectification
IN17A101,Male Specific,New,
IN17A114,Dimorphic,New,internally_consistent
IN18B009,Male Specific,New,
IN18B013,Dimorphic,New,needs_detailed_examination
IN18B029,Dimorphic,New,type_assembly_errors
IN18B033,Male Specific,New,
IN18B046,Dimorphic,New,internally_consistent
IN18B047,Dimorphic,New,internally_consistent
IN18B055,Dimorphic,New,internally_consistent
IN18B056,Male Specific,New,
IN19A034,Dimorphic,New,internally_consistent
IN19A036,Dimorphic,New,internally_consistent
IN19A121,Dimorphic,New,internally_consistent
IN19A128,Male Specific,New,
IN19A129,Male Specific,New,
IN19A134,Male Specific,New,
IN19A135,Male Specific,New,
IN19A137,Male Specific,New,
IN19A138,Male Specific,New,
IN19A139,Male Specific,New,
IN19A140,Male Specific,New,
IN19A141,Male Specific,New,
IN19B007,Dimorphic,New,needs_minor_rectification
IN19B016,Dimorphic,New,internally_consistent
IN19B029,Male Specific,New,
IN19B066,Dimorphic,New,needs_detailed_examination
IN19B068,Dimorphic,New,internally_consistent
IN19B078,Male Specific,New,
IN20A.22A011,Dimorphic,New,needs_detailed_examination
IN20A.22A012,Male Specific,New,
IN20A.22A013,Male Specific,New,
IN20A.22A022,Dimorphic,New,type_assembly_errors
IN20A.22A034,Male Specific,New,
IN20A.22A050,Male Specific,New,
IN21A090,Male Specific,New,
IN21A094,Male Specific,New,
IN21A106,Male Specific,New,
IN21A107,Male Specific,New,
IN21A108,Male Specific,New,
IN21A109,Male Specific,New,
IN21A112,Male Specific,New,
IN21A113,Male Specific,New,
IN21A114,Male Specific,New,
IN21A115,Male Specific,New,
IN23B011,Dimorphic,New,internally_consistent
IN23B012,Dimorphic,New,internally_consistent
IN23B021,Male Specific,New,
IN23B029,Male Specific,New,
IN23B035,Male Specific,New,
IN23B042,Male Specific,New,
IN23B076,Male Specific,New,
IN23B082,Male Specific,New,
IN23B090,Dimorphic,New,internally_consistent
IN23B092,Dimorphic,New,internally_consistent
IN23B094,Male Specific,New,
IN27X002,Male Specific,New,
IN27X003,Male Specific,New,
IN27X004,Male Specific,New,
IN27X007,Male Specific,New,
INAbG005,Female Specific,New,
INXXX008,Male Specific,New,
INXXX019,Male Specific,New,
INXXX025,Male Specific,New,
INXXX032,Male Specific,New,
INXXX034,Male Specific,New,
INXXX039,Male Specific,New,
INXXX045,Dimorphic,New,internally_consistent
INXXX052,Dimorphic,New,internally_consistent
INXXX056,Dimorphic,New,internally_consistent
INXXX058,Male Specific,New,
INXXX062,Male Specific,New,
INXXX069,Male Specific,New,
INXXX084,Dimorphic,New,needs_minor_rectification
INXXX087,Male Specific,New,
INXXX091,Dimorphic,New,internally_consistent
