BANC ID,DimScore
720575941522552823,9.43898498159399
720575941502323435,8.11831555897699
720575941611304937,8.065949458474512
720575941478584938,7.07178006438869
720575941529494660,6.907798268372352
720575941624572042,6.253681760956204
720575941474312800,5.806150402664786
720575941571453342,5.719243841212684
720575941594497575,5.708868871984936
720575941603720377,5.5946263800308875
720575941454037555,5.5238260596369715
720575941466964566,5.504694782753325
720575941569836914,5.498746426882612
720575941489812277,5.479491685579204
720575941393983382,5.421171935937745
720575941428365193,5.419800860311931
720575941574040329,5.379329001423756
720575941516280922,5.374633897371902
720575941679772605,5.3641577621480625
720575941731655979,5.333834358435349
720575941533398659,5.328884013989947
720575941393242628,5.326688961222925
720575941503769650,5.170030009462719
720575941564504832,5.167520797621754
720575941535167320,5.162413912488708
720575941560655731,5.14206091670214
720575941644554184,5.105127869272628
720575941607564909,5.048989179671304
720575941612401510,5.046677752028153
720575941642868385,5.030830191494628
720575941730244651,4.962185385159766
720575941553784455,4.960551510009591
720575941436757804,4.9078410546241855
720575941640775455,4.882777396711065
720575941628231138,4.815642569347178
720575941579450745,4.791717561868524
720575941621460476,4.770097471128591
720575941565477174,4.712932580691652
720575941569808754,4.585227074844481
720575941493928064,4.5555156230266665
720575941537718653,4.5206418624098825
720575941505239717,4.517989446146223
720575941481337679,4.497824765281145
720575941545087493,4.4558808180154825
720575941514456569,4.447916384542125
720575941505033010,4.44456286988676
720575941586648198,4.406024915262898
720575941574730235,4.390491041069041
720575941542529884,4.383242743115254
720575941427901012,4.352864010538601
720575941689930648,4.325376916957877
720575941540462285,4.2993228716885925
720575941628262969,4.2640889539987
720575941581648761,4.248691608429374
720575941461352659,4.236354424895194
720575941636577909,4.233134208002987
720575941614012892,4.228026275697512
720575941566565174,4.184288561946041
720575941663701884,4.1621777698116995
720575941557512307,4.141142071599546
720575941515969123,4.075488579297715
720575941414899345,4.074969741781127
720575941572941051,3.981714349982324
720575941431747086,3.9694077590620385
720575941482058179,3.958920685826739
720575941547426484,3.9584117601475217
720575941688806412,3.948267341108594
720575941592092968,3.9339379415633737
720575941491807463,3.925307662290922
720575941433235744,3.879169939571415
720575941405005168,3.8216399351782417
720575941666925745,3.7677279593689663
720575941513032780,3.7670001277370444
720575941670138033,3.753436299151576
720575941574226024,3.7523323277987672
720575941487560757,3.724365156990532
720575941631020192,3.712523705678797
720575941612982169,3.7016834168464112
720575941453830637,3.6916699417946144
720575941400285475,3.669248142529284
720575941438655506,3.6566211297338933
720575941505242789,3.6547200632759216
720575941499062601,3.6506333112889466
720575941639069471,3.6472246081801303
720575941668914609,3.64057411523627
720575941489274057,3.6301051388794328
720575941564186007,3.6275229594532385
720575941569405342,3.607637326484683
720575941589678078,3.5966496343486907
720575941579208281,3.5924936945232595
720575941502715019,3.589300519311534
720575941559394931,3.5727998004775494
720575941639571317,3.5600924284439586
720575941459216287,3.554285878758771
720575941612233830,3.532632305100431
720575941555196929,3.5196538671444424
720575941507049239,3.5032960855261868
720575941506550693,3.4956121114639394
720575941658910488,3.4895372140454866
720575941592898341,3.4878607523698837
720575941525946724,3.4860132307692555
720575941509737682,3.4794953246940867
720575941505410876,3.469813783062246
720575941515840403,3.450962894965146
720575941480673154,3.4485208460881394
720575941538336381,3.4395547794051753
720575941573417117,3.4362192732858414
720575941514111564,3.4279254821377134
720575941530295013,3.4193976013114593
720575941540257741,3.412741719216015
720575941521188791,3.4031505576861836
720575941557509870,3.3942058267017132
720575941577482585,3.367030879376392
720575941515548515,3.3632873280684383
720575941602114494,3.349479519117838
720575941652319705,3.3493775220557063
720575941603438777,3.3400820433825262
720575941588955703,3.334027555194945
720575941400290851,3.3251594291287345
720575941499077089,3.3132952978936285
720575941591804712,3.306119295348007
720575941542610437,3.2979575375123455
720575941523236171,3.2862303853617916
720575941427067476,3.2859059140395273
720575941482407677,3.2731953029632357
720575941565392482,3.2706347032417837
720575941565091847,3.266090114629326
720575941490679497,3.259170125106181
720575941415707420,3.256789044218761
720575941467453462,3.256734359591008
720575941560268270,3.2544662880860407
720575941483679674,3.2543555685794234
720575941552142727,3.244065414571667
720575941353080624,3.236569195301422
720575941520735411,3.235652657645522
720575941524958118,3.2350033651936916
720575941669801905,3.234751620338516
720575941691031704,3.2299291561059658
720575941452016199,3.2279814059788814
720575941598325148,3.216526732817092
720575941480490882,3.21321385148509
720575941597345692,3.207818192014424
720575941645117304,3.206967453881741
720575941668465319,3.1964317279737715
720575941535166913,3.1893984061626512
720575941452165801,3.1882867740407304
720575941584770014,3.1853321278046476
720575941503527147,3.176045015045525
720575941404813680,3.167489641530825
720575941543173405,3.1642297500539684
720575941439919295,3.163250638591786
720575941563385654,3.1611733011787257
720575941472597051,3.159321562334395
720575941551774526,3.1587705378257205
720575941565694262,3.147558067484956
720575941537511144,3.1301011698687513
720575941691021720,3.122139160334979
720575941626745452,3.1152093325343304
720575941470004445,3.1126307126970163
720575941534800618,3.108602355863534
720575941498434683,3.103038550434587
720575941688242328,3.1016754239499407
720575941417243164,3.097318450660961
